p,d,q,P,D,Q,AIC,BIC,runtime_seconds,converged,error
1,0,4,0,1,0,2457.4987015374345,2475.1055451362186,0.1636824607849121,True,
1,0,5,0,1,0,2442.7371704470793,2463.2279462431798,0.152421236038208,False,
1,0,6,0,1,0,2427.8441890853437,2451.2040364919685,0.18276309967041016,False,
1,1,0,0,1,0,2538.632245560447,2544.5438996756493,0.014623403549194336,True,
1,1,1,0,1,0,2496.6073793918104,2505.453659062945,0.056839942932128906,True,
1,1,2,0,1,0,2478.4872491419196,2490.253818832357,0.07045936584472656,True,
1,1,3,0,1,0,2461.1952918771576,2475.867661542811,0.08080172538757324,True,
1,1,4,0,1,0,2440.6638330277096,2458.227355138653,0.0873708724975586,True,
1,1,5,0,1,0,2425.6493815603353,2446.089248041132,0.09406328201293945,True,
1,1,6,0,1,0,2409.8785482255985,2433.179787311487,0.16161704063415527,False,
1,2,0,0,1,0,2631.409000804547,2637.306520585303,0.013362646102905273,True,
1,2,1,0,1,0,2510.722037333562,2519.5469646013903,0.030782461166381836,True,
1,2,2,0,1,0,2474.183243851867,2485.9211395843895,0.0642540454864502,True,
1,2,3,0,1,0,2457.53102444923,2472.167292875016,0.08750653266906738,False,
1,2,4,0,1,0,2442.3401174344717,2459.8600029894405,0.1278228759765625,False,
1,2,5,0,1,0,2420.0925380950066,2440.481122295159,0.14491057395935059,False,
1,2,6,0,1,0,2404.303110832103,2427.54530905961,0.18775415420532227,False,
2,0,0,0,1,0,2515.671597016473,2524.5390781892766,0.0149383544921875,True,
2,0,1,0,1,0,2513.6814975007374,2525.5048057311424,0.04068470001220703,True,
2,0,2,0,1,0,2497.619740565376,2512.363540017267,0.0687706470489502,True,
2,0,3,0,1,0,2480.239536357897,2497.889390893553,0.06017494201660156,True,
2,0,4,0,1,0,2459.2725039676297,2479.8138214995447,0.1310257911682129,False,
2,0,5,0,1,0,2444.442795648485,2467.860825129743,0.15865802764892578,False,
2,0,6,0,1,0,2429.341608698926,2455.621437031379,0.17946648597717285,False,
2,1,0,0,1,0,2506.974726222486,2515.8210058936206,0.01524209976196289,True,
2,1,1,0,1,0,2495.5654583780934,2507.360497939606,0.05402207374572754,True,
2,1,2,0,1,0,2479.2852939376235,2493.99350605067,0.11095428466796875,True,
2,1,3,0,1,0,2464.4004721243664,2482.0073157231504,0.1451122760772705,False,
2,1,4,0,1,0,2442.331095325043,2462.8218711211434,0.15521669387817383,False,
2,1,5,0,1,0,2427.062443979575,2450.4222913862,0.20329761505126953,True,
2,1,6,0,1,0,2402.182013661357,2428.3959076329816,0.2548801898956299,False,
2,2,0,0,1,0,2558.2978617265076,2567.1227889943357,0.021821260452270508,True,
2,2,1,0,1,0,2497.1822445742646,2508.948814264702,0.04661440849304199,True,
2,2,2,0,1,0,2481.4829746693963,2496.15534433505,0.06566929817199707,True,
