date,actual,forecast,lower_80,upper_80,lower_95,upper_95
2019-05-05 00:00:00+00:00,53123.17261904762,54771.35301548106,49073.1761573249,60469.52987363721,46056.74353757083,63485.962493391286
2019-05-12 00:00:00+00:00,56023.57738095238,55151.0527725544,49371.143430314405,60930.9621147944,46311.44424702235,63990.66129808645
2019-05-19 00:00:00+00:00,55285.59523809524,57387.66031923085,51527.15825010741,63248.162388354285,48424.795854293596,66350.5247841681
2019-05-26 00:00:00+00:00,54945.35119047619,55620.10791156888,49680.10648060213,61560.10934253562,46535.659664756575,64704.55615838118
2019-06-02 00:00:00+00:00,51308.80357142857,56143.782561803826,50125.33180620452,62162.23331740313,46939.356426449864,65348.20869715779
2019-06-09 00:00:00+00:00,54528.16071428572,57956.60591726448,51860.715334645676,64052.49649988329,48633.74578673784,67279.46604779112
2019-06-16 00:00:00+00:00,52286.708333333336,57172.223837999874,50999.86492969362,63344.58274630613,47732.4154953724,66612.03218062734
2019-06-23 00:00:00+00:00,52541.21428571428,57521.312389841405,51273.42098628497,63769.20379339784,47965.98706425906,67076.63771542374
2019-06-30 00:00:00+00:00,55955.28571428572,56781.342537124016,50458.82092875277,63103.86414549526,47111.88016272639,66450.80491152164
2019-07-07 00:00:00+00:00,55179.63095238096,57778.18494402635,51381.90383810174,64174.466049950955,47995.91715265672,67560.45273539597
2019-07-14 00:00:00+00:00,53908.16666666666,55649.75669501816,49180.557016256105,62118.95637378021,45755.96957004708,65543.54381998924
2019-07-21 00:00:00+00:00,53511.96428571428,55248.281345888165,48706.97589656218,61789.58679521415,45244.21796112197,65252.34473065436
2019-07-28 00:00:00+00:00,54207.10119047619,56788.389607995916,50175.76460130843,63401.0146146834,46675.252372765906,66901.52684322593
2019-08-04 00:00:00+00:00,52392.10119047619,57076.62859672928,50393.44507562531,63759.812117833244,46855.58142577993,67297.67576767864
2019-08-11 00:00:00+00:00,52019.05357142857,56204.926556638755,49451.92170883638,62957.93140444113,45877.09688129322,66532.75623198428
2019-08-18 00:00:00+00:00,51155.23809523809,55308.80602283273,48486.69440163147,62130.917644033994,44875.286658058256,65742.3253876072
2019-08-25 00:00:00+00:00,51838.13095238096,56227.884774865546,49337.35943423903,63118.410115492065,45689.735655247816,66766.03389448328
2019-09-01 00:00:00+00:00,54091.97023809524,55574.416508175535,48616.1500597343,62532.68295661677,44932.666304403785,66216.16671194728
2019-09-08 00:00:00+00:00,52443.16071428572,56748.02043446194,49722.66603306767,63773.374835856215,46003.66806069589,67492.37280822798
2019-09-15 00:00:00+00:00,53348.48809523809,56928.21112559933,49836.403389705985,64020.018861492674,46082.22714700946,67774.1951041892
2019-09-22 00:00:00+00:00,53222.54761904762,58716.00907470039,51558.364946877075,65873.65320252371,47769.337023524095,69662.6811258767
2019-09-29 00:00:00+00:00,54829.47619047619,57444.8548348968,50221.974387440234,64667.73528235337,46398.41244251633,68491.29722727727
2019-10-06 00:00:00+00:00,52330.63095238096,57068.23839752292,49198.12141187636,64938.35538316947,45031.93314013032,69104.54365491551
2019-10-13 00:00:00+00:00,55801.708333333336,59664.34498984312,51613.40435024226,67715.28562944398,47351.49381823851,71977.19616144773
2019-10-20 00:00:00+00:00,56132.79166666666,59771.88866372574,51479.66497314357,68064.11235430792,47090.02690938867,72453.75041806282
2019-10-27 00:00:00+00:00,56484.41071428572,60765.701361859836,52252.44820383055,69278.95451988911,47745.804207804526,73785.59851591515
2019-11-03 00:00:00+00:00,55029.63095238096,57197.26441305882,48465.95721132652,65928.57161479113,43843.88237721521,70550.64644890244
2019-11-10 00:00:00+00:00,58159.36309523809,62422.656590989965,53479.128462589484,71366.18471939044,48744.71065602726,76100.60252595268
2019-11-17 00:00:00+00:00,59112.23809523809,63289.19830136146,54138.267145272504,72440.12945745041,49294.05680791864,77284.33979480428
2019-11-24 00:00:00+00:00,59735.94047619047,63854.740898515694,54501.0246767151,73208.45712031629,49549.466409972905,78160.01538705848
2019-12-01 00:00:00+00:00,59842.833333333336,64991.39062789886,55439.189307401146,74543.59194839657,50382.559376309306,79600.22187948841
