date,actual,forecast,lower_80,upper_80,lower_95,upper_95
2019-04-28 00:00:00+00:00,52336.75,56843.72341142379,53014.448586029095,60672.99823681848,50987.35294107902,62700.09388176855
2019-05-05 00:00:00+00:00,53123.17261904762,54314.14603047141,50437.41118260488,58190.88087833794,48385.19171937363,60243.100341569196
2019-05-12 00:00:00+00:00,56023.57738095238,54357.83055428093,50434.20971723208,58281.451391329785,48357.170310587426,60358.49079797444
2019-05-19 00:00:00+00:00,55285.59523809524,56870.17579237616,52900.222661017404,60840.12892373492,50798.65641931947,62941.69516543285
2019-05-26 00:00:00+00:00,54945.35119047619,55141.09841142379,51125.34751558296,59156.849307264616,48999.53740183009,61282.65942101748
2019-06-02 00:00:00+00:00,51308.80357142857,55482.657935233314,51421.62572042541,59543.69015004122,49271.84512435901,61693.47074610762
2019-06-09 00:00:00+00:00,54528.16071428572,57949.55674475712,53843.742569472415,62055.37092004183,51670.2558355094,64228.857654004845
2019-06-16 00:00:00+00:00,52286.708333333336,57416.54483999522,53266.431897648945,61566.6577823415,51069.494812932404,63763.59486705804
2019-06-23 00:00:00+00:00,52541.21428571428,57793.84841142379,53599.90458413053,61987.79223871705,51379.76483049058,64207.93199235699
2019-06-30 00:00:00+00:00,55955.28571428572,57184.69364951903,52947.3723000398,61422.01499899826,50704.269873225094,63665.11742581297
2019-07-07 00:00:00+00:00,55179.63095238096,57458.20555428093,53177.946261783145,61738.46484677872,50912.11386094859,64004.29724761327
2019-07-14 00:00:00+00:00,53908.16666666666,55379.79483999522,51057.02408464919,59702.56559534126,48768.687474759536,61990.90220523091
2019-07-21 00:00:00+00:00,53511.96428571428,54966.77698285236,50601.90878374988,59331.64518195484,48291.287133273356,61642.26683243136
2019-07-28 00:00:00+00:00,54207.10119047619,56609.485316185695,52202.92182659459,61016.0488057768,49870.228022611635,63348.742609759756
2019-08-04 00:00:00+00:00,52392.10119047619,56468.086506661886,52020.218570216544,60915.95444310723,49665.659512849306,63270.513500474466
2019-08-11 00:00:00+00:00,52019.05357142857,55791.32460189998,51302.53227296341,60280.11693083654,48926.30915083879,62656.34005296117
2019-08-18 00:00:00+00:00,51155.23809523809,54806.711506661886,50277.36453777322,59336.058475550555,47879.67308606194,61733.74992726183
2019-08-25 00:00:00+00:00,51838.13095238096,56151.58055428093,51582.038853317674,60721.12225524419,49163.069595741435,63140.09151282043
2019-09-01 00:00:00+00:00,54091.97023809524,56088.06269713808,51478.67675657035,60697.448637705806,49038.615232635246,63137.51016164091
2019-09-08 00:00:00+00:00,52443.16071428572,56407.52103047141,51758.63233086108,61056.409730081745,49297.65930945712,63517.382751485704
2019-09-15 00:00:00+00:00,53348.48809523809,56621.05674475712,51932.998134455214,61309.11535505903,49451.28981485604,63790.823674658204
2019-09-22 00:00:00+00:00,53222.54761904762,58104.90198285236,53377.99803567012,62831.8059300346,50875.7262368726,65334.07772883212
2019-09-29 00:00:00+00:00,54829.47619047619,57625.05079237616,52859.618144845794,62390.48343990653,50336.950484105095,64913.15110064723
2019-10-06 00:00:00+00:00,52330.63095238096,56258.47228331882,50818.660388087985,61698.28417854966,47938.997918044864,64577.94664859278
2019-10-13 00:00:00+00:00,55801.708333333336,59585.33997345101,54028.30817717781,65142.37176972421,51086.59323982974,68084.08670707229
2019-10-20 00:00:00+00:00,56132.79166666666,59698.161212025094,54007.99391724247,65388.32850680772,50995.801304218854,68400.52111983133
2019-10-27 00:00:00+00:00,56484.41071428572,60564.40646726233,54671.65056596455,66457.16236856011,51552.2140227691,69576.59891175556
2019-11-03 00:00:00+00:00,55029.63095238096,56717.64978846299,50732.94081057305,62702.35876635294,47564.82724898665,65870.47232793934
2019-11-10 00:00:00+00:00,58159.36309523809,62212.375394276154,56158.92825698604,68265.82253156627,52954.426911833434,71470.32387671887
2019-11-17 00:00:00+00:00,59112.23809523809,62981.39920379997,56808.30177924795,69154.49662835199,53540.46139804154,72422.3370095584
2019-11-24 00:00:00+00:00,59735.94047619047,63700.851584752345,57410.379314560254,69991.32385494444,54080.40444333349,73321.2987261712
2019-12-01 00:00:00+00:00,59842.833333333336,64960.6194418952,58554.922684234836,71366.31619955556,55163.95165384249,74757.28722994792
2019-12-08 00:00:00+00:00,61059.29761904762,66123.97658475235,59605.09167089282,72642.86149861188,56154.20244999358,76093.75071951112
2019-12-15 00:00:00+00:00,61242.19047619047,65715.42301332379,59085.28198245648,72345.5640441911,55575.497330818,75855.34869582957
2019-12-22 00:00:00+00:00,56836.767857142855,60951.88729903807,54212.326507841426,67691.44809023471,50644.61853396864,71259.1560641075
2019-12-29 00:00:00+00:00,46505.30952380953,51225.82182284759,44378.58959169901,58073.054053996166,40753.883800494164,61697.75984520101
2020-01-05 00:00:00+00:00,50161.70238095238,57860.45277522855,50907.216205376724,64813.68934508038,47226.39510693247,68494.51044352463
2020-01-12 00:00:00+00:00,59077.59523809524,63054.06587046664,55996.41694427531,70111.71479665798,52260.32328314865,73847.80845778463
2020-01-19 00:00:00+00:00,60361.69642857143,64870.28610856188,57709.747166944806,72030.82505017894,53919.18682173603,75821.38539538773
2020-01-26 00:00:00+00:00,60893.732142857145,63130.25039427616,55868.27907076769,70392.22171778463,52024.023666059555,74236.47712249277
2020-02-02 00:00:00+00:00,60839.19642857143,63818.11348951426,56456.107168374336,71180.11981065419,52558.8964347103,75077.33054431822
2020-02-09 00:00:00+00:00,60259.83928571428,64246.17301332379,56785.47286913161,71706.87315751596,52836.01678144757,75656.3292452
2020-02-16 00:00:00+00:00,60845.125,63739.79206094283,56181.68672887753,71297.89739300814,52180.66744943098,75298.9166724547
2020-02-23 00:00:00+00:00,59787.32738095238,63694.982537133306,56040.7114562505,71349.25361801611,51988.78510444431,75401.1799698223
2020-03-01 00:00:00+00:00,58899.13690476191,66444.02420379999,58694.780669835935,74193.26773776404,54592.5789382752,78295.46946932477
2020-03-08 00:00:00+00:00,58688.47023809524,62180.58967999045,54337.52363935758,70023.65572062333,50185.65527290154,74175.52408707936
2020-03-15 00:00:00+00:00,58534.23809523809,63888.006346657116,55952.226959175794,71823.78573413844,51751.279111566066,76024.73358174817
2020-03-22 00:00:00+00:00,55372.744047619046,63755.62539427617,55728.20338868693,71783.0473998654,51478.74286948038,76032.50791907196
