date,Model,actual,forecast
2020-03-29 00:00:00+00:00,Gradient Boosting,53471.982142857145,58458.88542364785
2020-04-05 00:00:00+00:00,Gradient Boosting,52845.267857142855,56199.071582453435
2020-04-12 00:00:00+00:00,Gradient Boosting,47210.88690476191,57804.14056190854
2020-04-19 00:00:00+00:00,Gradient Boosting,47415.69642857143,53854.54465402447
2020-04-26 00:00:00+00:00,Gradient Boosting,50172.41666666666,53502.971296392854
2020-05-03 00:00:00+00:00,Gradient Boosting,48161.90476190476,54695.933901186756
2020-05-10 00:00:00+00:00,Gradient Boosting,49590.77976190476,54947.921132265554
2020-05-17 00:00:00+00:00,Gradient Boosting,50926.97619047619,55076.58051567656
2020-05-24 00:00:00+00:00,Gradient Boosting,47439.642857142855,54444.20300142259
2020-05-31 00:00:00+00:00,Gradient Boosting,49527.607142857145,53727.00626663143
2020-06-07 00:00:00+00:00,Gradient Boosting,48776.244047619046,54149.32998074101
2020-06-14 00:00:00+00:00,Gradient Boosting,48219.744047619046,53111.811567200435
2020-06-21 00:00:00+00:00,Gradient Boosting,49813.94642857143,53775.90863857139
2020-06-28 00:00:00+00:00,Gradient Boosting,50480.79166666666,54581.69439377408
2020-07-05 00:00:00+00:00,Gradient Boosting,51458.875,53992.63975973803
2020-07-12 00:00:00+00:00,Gradient Boosting,51252.57738095238,53045.13622082063
2020-07-19 00:00:00+00:00,Gradient Boosting,50896.18452380953,53288.94270225456
2020-07-26 00:00:00+00:00,Gradient Boosting,50475.73809523809,54141.52368228511
2020-08-02 00:00:00+00:00,Gradient Boosting,50049.392857142855,53746.704864676765
2020-08-09 00:00:00+00:00,Gradient Boosting,49450.92261904762,53087.394755112364
2020-08-16 00:00:00+00:00,Gradient Boosting,52076.73809523809,52932.52383929928
2020-08-23 00:00:00+00:00,Gradient Boosting,51872.05952380953,53630.49956566936
2020-08-30 00:00:00+00:00,Gradient Boosting,51653.375,54164.95708220194
2020-09-06 00:00:00+00:00,Gradient Boosting,51617.744047619046,53889.57595477835
2020-09-13 00:00:00+00:00,Gradient Boosting,51507.63095238096,53660.3317725196
2020-09-20 00:00:00+00:00,Gradient Boosting,52181.32738095238,54197.482258304124
2020-09-27 00:00:00+00:00,Gradient Boosting,53411.93452380953,54734.99053627784
2020-10-04 00:00:00+00:00,Gradient Boosting,57410.319444444445,54628.371595015335
